building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
บ้านประชานิเวศน์  2,BS-22,,086-305-8655,,1,15,305,3/251 ถนนเทศบาลนิมิตรเหนือ แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,-,-,-,วังทองหลาง,13.840821,100.547325,-,-,-,-,-,,
ยู ดีไลท์  แอท หัวหมาก สเตชั่น,BKP-27,,0-2003-3800-1   ,,1,20,867,89/868 ถนนหัวหมาก แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,-,-,จตุจักร,13.751242,100.63733,-,-,-,-,-,,
บางกะปิ คอนโดทาวน์ อาคาร ดี,BKP-12,คุุณปู,"02-7333885, 094-4072027",,1,8,322,90 ลาดพร้าว 121 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ 10240,-,-,-,บางกะปิ,13.771167,100.644967,-,-,-,-,-,,
เดอะ ไพรม 11 สุขุมวิท,WTN-201,คุณวริษรา(ผจก) 085-4291324,"02-6511182-3, 086-3451138",,1,32,212,20 ซอยสุขุมวิท 11 แขวงคลองเตยเหนือ  เขตวัฒนา กรุงเทพมหานคร 10110   ,-,-,-,บางกะปิ,13.744096,100.556522,-,-,-,-,-,,
เดอะกรีน 2 คอนโดมิเนียม,PKN-38,,"065-9317377,  085-622-5962  ",,2,8,270,1 ซ.ปุณณวิถี 47 ถ.สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กทม. 10260  ,-,-,-,วัฒนา,13.695381,100.622429,-,-,-,-,-,,
วิลล่า ราชเทวี,RTV-25,,02-1699401-3,,1,44,749,83 ถนนพญาไท แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร ,-,-,-,พระโขนง,13.754276,100.532631,-,-,-,-,-,,
ไอดีโอ มอร์ฟ 38 คอนโดมิเนียม อาคารบี,KT-145,คุณเบญญาภา,091-698-3118,,2,10,340,88/8 ซอยสุขุมวิท 38 แขวงพระโขนง เขตคลองเตย กทม. 10110,-,-,-,ราชเทวี,13.720902,100.579082,-,-,-,-,-,,
อิลิเม้นท์ ศรีนครินทร์ 1-2,,,02-0232892,,2,8,388,98  ซอยสุภาพงษ์ 1 แยก 6 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ 10250      ,-,-,-,คลองเตย,13.695716,100.645882,-,-,-,-,-,,
รัชอาภา ทาวเวอร์,JJ-51,คุณอิฐ," 0-2939-1372 ,0802276765",,1,14,266,333 ถนนรัชดาภิเษก  ซอยสันนิบาตเทศบาล 1 แขวงลาดยาว   เขตจตุจักร  กรุงเทพฯ,-,-,-,ประเวศ,13.820053,100.583473,-,-,-,-,-,,
บจก.เอ พลัส เรียลเอสเตท โครงการ ASHER.4,,คุณปลา,"092 925 9396,063-8062229",,1,8,117,135 ซ.รามคำแหง 39 (เทพลีลา) แขวงพลับพลา เขตห้วยขวาง กรุงเทพฯ,-,-,-,จตุจักร,13.785977,100.584917,-,-,-,-,-,,
บจก.เอ พลัส เรียลเอสเตท โครงการ ASHER.5,,คุณไข่,062 874 7944,,1,8,77,135 ซ.รามคำแหง 39 (เทพลีลา) แขวงพลับพลา เขตห้วยขวาง กรุงเทพฯ,-,-,-,ห้วยขวาง,13.794319,100.586511,-,-,-,-,-,,
เดอะคิทท์ พลัส นวมินทร์,,นิติฯ,092 271 9545,,2,8,406,3 ซ.นวมินทร์ 163  ถนนนวมินทร์  แขวงนวลจันทร์ เขตบึงกุ่ม  กรุงเทพมหานคร ,-,-,-,ห้วยขวาง,13.835239,100.657168,-,-,-,-,-,,
บจก.วัน ลีฟวิ่ง ดีเวลลอปเม้นท์ โครงการ Miti Chiva Kaset Stations,,คุณออม,097 136 1181,,1,23,200,388 Soi  Ratchadaphisek 32 Ratchadaphisek Road Chauchak Bangkok 10900,-,-,-,บึงกุ่ม,13.840434,100.577973,-,-,-,-,-,,
บจก. รีเจ้นท์ กรีน  เพาเวอร์ โครงการ Regent home bangson phase 28,,คุณก๊อต ,089 8965711,,4,24,4000,700/18 ซอยประจิตต์  ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง  กรุงเทพมหานคร  10250 ,-,-,-,,13.819591,100.531157,-,-,-,-,-,,
บจก. รีเจ้นท์ กรีน  เพาเวอร์ โครงการ Regent home  Sukhumvit 97/1,,คุณฝน,082-991-7984,,6,8,1245,700/18 ซอยประจิตต์  ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง  กรุงเทพมหานคร  10251,-,-,-,สวนหลวง,13.69916,100.614437,-,-,-,-,-,,
เอื้ออาทร บางนา นิติ 1 (ตึก 1 - 16),,คุณไก่,"095-543-8505, 0-2181-9948",2.2,16,6,636,229/37 ม.7 ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ,-,-,-,สวนหลวง,13.562649,100.669142,-,-,-,-,-,,
เอื้ออาทร บางนา นิติ 4 (ตึก 61 - 85),,คุุณสุกัญญา,"092-983-9882, 0-2174-9797",2.2,24,6,960,294/37 อาคาร 80 ชั้น 1  ม.3 ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ,-,-,-,บางพลี,13.6269962,100.7541593,-,-,-,-,-,,
เอื้ออาทร บางนา นิติ 6 (ตึก 110- 130),BPE-9,คุณฝน,"094-889-4461, 0-2181-9926",2.2,20,6,800,344/37 ม.7 ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ,-,-,-,บางพลี,13.628355,100.7556731,-,-,-,-,-,,
แกรนด์ พาร์ควิว อโศก,WTN-254,,0-2261-3218,,1,32,481,54 ถนนอโศกมนตรี แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,บางพลี,13.743932,100.561775,-,-,-,-,-,,
เลอ รัฟฟิเน่,KT-116,,0-2261-9600-8  ,,1,34,70,52/1 ซ.สุขุมวิท 24  ถ.สุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110,-,-,-,วัฒนา,13.725898,100.567186,-,-,-,-,-,,
ดิไอริส อาคารจี,,,0-2187-3771,,1,8,152,515  ชั้น B ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ  ,-,-,-,คลองเตย,13.742956,100.645815,-,-,-,-,-,,
เดอะเน็กซ์ การ์เด้นท์ สูท,PKN-52,คุณเอก,"0-2333-0853, 086-336-3617",,1,8,143,111 ซ.สุขุมวิท 52 ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพฯ,-,-,-,สวนหลวง,13.703164,100.59968,-,-,-,-,-,,
บจก. 101 เรียลเอสเตท  (กรีนวิวล์ 1),,คุุณเหมียว,0-2061-6560 098-828-2294,,1,8,98,728  ซอยสุขุมวิท 101  แขวงบางจาก  เขตพระโขนง  กรุงเทพฯ 10260,-,-,-,พระโขนง,13.739596,100.552173,-,-,-,-,-,,
บจก. กรีน เรียลเอสเตท (กรีนวิวล์ 2),,คุุณเหมียว,0-2061-6560 098-828-2294,,1,8,98,728 ซอยสุขุมวิท 101  แขวงบางจาก  เขตพระโขนง  กรุงเทพฯ 10260  ,-,-,-,พระโขนง,13.6900779,100.6185117,-,-,-,-,-,,
ภัทรศรีพัฒน์ ทาวเวอร์,SL-18,คุณต๊อก,062-549-5153,,2,9,435,15 อาคารภัทรศรีพัฒนทาวเวอร์ ซอยพัฒนาการ 54 ถนนพัฒนาการ สวนหลวง กรุงเทพฯ 10250,-,-,-,พระโขนง,"13.7332194,",100.6384098,-,-,-,-,-,,
บจก.เอเบิ้ล แอสเสท กรุ๊ป โครงการ ลีสส์ รัชโยธิน คอนโดมิเนียม,,,,,1,18,233,3300/96 ตึกช้าง อาคารบี  ชั้น 17 ถนนพหลโยธิน แขวงจอมพล เขตจตุจักร กรุงเทพฯ 10900,-,-,-,สวนหลวง,13.8247498,100.5624784,-,-,-,-,-,,
หรรษา ราชดำริ   (บริษัท สมหรรษา จำกัด (สาขาที่ 00004) ,PTW-45,,0-2117-2381,,1,43,135,3 ซอยมหาดเล็กหลวง 2  แขวงลุมพินี  เขตปทุมวัน  กรุงเทพฯ 10330      ,-,-,-,จตุจักร,13.7407429,100.5412725,-,-,-,-,-,,
เดอะ เพรสซิเด้นท์ สุขุมวิท 81 อาคาร เอ ,PKN-49,,"0-2117-2381, 094-869-8649  094-869-8649  ",,1,20,358,2079 ถ.สุขุมวิท แขวงพระโขนงเหนือ  เขตวัฒนา  กรุงเทพมหานคร  10260  ,-,-,-,ปทุมวัน,13.7050581,100.6015584,-,-,-,-,-,,
เดอะ เพรสซิเดนท์ สุขุมวิท 81 อาคาร บี ,,,"0-2117-2381, 094-869-8649",,1,20,358,2079 ถ.สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา  กรุงเทพมหานคร  10260 ,-,-,-,วัฒนา,13.7050581,100.6015584,-,-,-,-,-,,
เดอะแบงค๊อค สุขุมวิท 61,,,0-2381-0380-2,,1,8,72,39  ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,วัฒนา,13.7264501,100.583625,-,-,-,-,-,,
บางกะปิ คอนโดทาวน์ อาคาร เอ,BKP-12,คุณอัฐ (ผจก.),"0-2374-9801 , 086-339-9969",,1,11,384,283 ซอยลาดพร้าว 121 (สีวะรา) คลองจั่น บางกะปิ กทม. 10240,-,-,-,วัฒนา,13.7724275,100.6442372,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร เอ)  ,PV-5,นิติฯ , 095-7428717,,1,10,498,180 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,บางกะปิ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร บี)  ,,นิติฯ , 095-7428717,,1,5,65,170 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร ซี)  ,,นิติฯ , 095-7428717,,1,5,65,171 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร ดี)  ,,นิติฯ , 095-7428717,,1,5,65,172 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร อี)  ,,นิติฯ , 095-7428717,,1,5,65,173 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร เอฟ)  ,,นิติฯ , 095-7428717,,1,5,65,174 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร จี)  ,,นิติฯ , 095-7428717,,1,5,65,175 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร เอช)  ,,นิติฯ , 095-7428717,,1,5,65,176 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
นิรันดร์เรซิเดนซ์ 1 (อาคาร เจ)  ,,นิติฯ , 095-7428717,,1,5,65,177 ถนนรามคำแหง 2  ซอย 23 แยก 7 แขวงดอกไม้ เขตประเวศ กรุงเทพ 10250,-,-,-,ประเวศ,13.6669146,100.682111,-,-,-,-,-,,
บีพลัส คอนโด พหลโยธิน 50 -สะพานใหม่ (บจก.กู๊ดโอม เฮ้าส์ซิ่ง),,พี่กิ๊บ ผจก.อาคาร,02-973-7188 ,,1,9,62,573/141 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง แขวงพลับพลา เขตวังทองหลาง กรุงเทพฯ,-,-,-,ประเวศ,13.890026,100.6111332,-,-,-,-,-,,
ลุมพินี วิลล์  พหล-สุทธิสาร,BG-22,คุณดา,02-2784448,,1,21,861,23  ถนนสุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพฯ,-,-,-,วังทองหลาง,13.7886076,100.550861,-,-,-,-,-,,
คอนโดวันเอ็กซ์ สาทร-นราธิวาส,YNW-2,คุณหนุ่ย,0-2674-3458-9,,4,9,431,297 คอนโดวันเอ็กซ์ สาทร-นราธิวาส เขาช่องนนทรี เขตยานนาวา กทม. 10120,-,-,-,พญาไท,13.7033348,100.532557,-,-,-,-,-,,
